areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
overview,United Kingdom,K02000001,2020-10-29,72,46226
overview,United Kingdom,K02000001,2020-10-28,158,46154
overview,United Kingdom,K02000001,2020-10-27,210,45996
overview,United Kingdom,K02000001,2020-10-26,242,45786
overview,United Kingdom,K02000001,2020-10-25,225,45544
overview,United Kingdom,K02000001,2020-10-24,197,45319
overview,United Kingdom,K02000001,2020-10-23,191,45122
overview,United Kingdom,K02000001,2020-10-22,216,44931
overview,United Kingdom,K02000001,2020-10-21,210,44715
overview,United Kingdom,K02000001,2020-10-20,187,44505
overview,United Kingdom,K02000001,2020-10-19,179,44318
overview,United Kingdom,K02000001,2020-10-18,159,44139
overview,United Kingdom,K02000001,2020-10-17,175,43980
overview,United Kingdom,K02000001,2020-10-16,146,43805
overview,United Kingdom,K02000001,2020-10-15,151,43659
overview,United Kingdom,K02000001,2020-10-14,113,43508
overview,United Kingdom,K02000001,2020-10-13,108,43395
overview,United Kingdom,K02000001,2020-10-12,111,43287
overview,United Kingdom,K02000001,2020-10-11,122,43176
overview,United Kingdom,K02000001,2020-10-10,100,43054
overview,United Kingdom,K02000001,2020-10-09,80,42954
overview,United Kingdom,K02000001,2020-10-08,93,42874
overview,United Kingdom,K02000001,2020-10-07,99,42781
overview,United Kingdom,K02000001,2020-10-06,69,42682
overview,United Kingdom,K02000001,2020-10-05,69,42613
overview,United Kingdom,K02000001,2020-10-04,60,42544
overview,United Kingdom,K02000001,2020-10-03,65,42484
overview,United Kingdom,K02000001,2020-10-02,69,42419
overview,United Kingdom,K02000001,2020-10-01,65,42350
overview,United Kingdom,K02000001,2020-09-30,58,42285
overview,United Kingdom,K02000001,2020-09-29,47,42227
overview,United Kingdom,K02000001,2020-09-28,54,42180
overview,United Kingdom,K02000001,2020-09-27,45,42126
overview,United Kingdom,K02000001,2020-09-26,40,42081
overview,United Kingdom,K02000001,2020-09-25,32,42041
overview,United Kingdom,K02000001,2020-09-24,34,42009
overview,United Kingdom,K02000001,2020-09-23,56,41975
overview,United Kingdom,K02000001,2020-09-22,39,41919
overview,United Kingdom,K02000001,2020-09-21,28,41880
overview,United Kingdom,K02000001,2020-09-20,31,41852
overview,United Kingdom,K02000001,2020-09-19,19,41821
overview,United Kingdom,K02000001,2020-09-18,23,41802
overview,United Kingdom,K02000001,2020-09-17,27,41779
overview,United Kingdom,K02000001,2020-09-16,26,41752
overview,United Kingdom,K02000001,2020-09-15,17,41726
overview,United Kingdom,K02000001,2020-09-14,21,41709
overview,United Kingdom,K02000001,2020-09-13,16,41688
overview,United Kingdom,K02000001,2020-09-12,18,41672
overview,United Kingdom,K02000001,2020-09-11,13,41654
overview,United Kingdom,K02000001,2020-09-10,13,41641
overview,United Kingdom,K02000001,2020-09-09,9,41628
overview,United Kingdom,K02000001,2020-09-08,9,41619
overview,United Kingdom,K02000001,2020-09-07,15,41610
overview,United Kingdom,K02000001,2020-09-06,8,41595
overview,United Kingdom,K02000001,2020-09-05,13,41587
overview,United Kingdom,K02000001,2020-09-04,7,41574
overview,United Kingdom,K02000001,2020-09-03,11,41567
overview,United Kingdom,K02000001,2020-09-02,9,41556
overview,United Kingdom,K02000001,2020-09-01,3,41547
overview,United Kingdom,K02000001,2020-08-31,9,41544
overview,United Kingdom,K02000001,2020-08-30,6,41535
overview,United Kingdom,K02000001,2020-08-29,4,41529
overview,United Kingdom,K02000001,2020-08-28,10,41525
overview,United Kingdom,K02000001,2020-08-27,8,41515
overview,United Kingdom,K02000001,2020-08-26,11,41507
overview,United Kingdom,K02000001,2020-08-25,12,41496
overview,United Kingdom,K02000001,2020-08-24,6,41484
overview,United Kingdom,K02000001,2020-08-23,14,41478
overview,United Kingdom,K02000001,2020-08-22,8,41464
overview,United Kingdom,K02000001,2020-08-21,7,41456
overview,United Kingdom,K02000001,2020-08-20,8,41449
overview,United Kingdom,K02000001,2020-08-19,3,41441
overview,United Kingdom,K02000001,2020-08-18,10,41438
overview,United Kingdom,K02000001,2020-08-17,12,41428
overview,United Kingdom,K02000001,2020-08-16,4,41416
overview,United Kingdom,K02000001,2020-08-15,12,41412
overview,United Kingdom,K02000001,2020-08-14,7,41400
overview,United Kingdom,K02000001,2020-08-13,9,41393
overview,United Kingdom,K02000001,2020-08-12,7,41384
overview,United Kingdom,K02000001,2020-08-11,10,41377
overview,United Kingdom,K02000001,2020-08-10,13,41367
overview,United Kingdom,K02000001,2020-08-09,8,41354
overview,United Kingdom,K02000001,2020-08-08,14,41346
overview,United Kingdom,K02000001,2020-08-07,12,41332
overview,United Kingdom,K02000001,2020-08-06,9,41320
overview,United Kingdom,K02000001,2020-08-05,6,41311
overview,United Kingdom,K02000001,2020-08-04,14,41305
overview,United Kingdom,K02000001,2020-08-03,15,41291
overview,United Kingdom,K02000001,2020-08-02,10,41276
overview,United Kingdom,K02000001,2020-08-01,11,41266
overview,United Kingdom,K02000001,2020-07-31,14,41255
overview,United Kingdom,K02000001,2020-07-30,10,41241
overview,United Kingdom,K02000001,2020-07-29,12,41231
overview,United Kingdom,K02000001,2020-07-28,12,41219
