areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2020-10-29,1408,989745
overview,United Kingdom,K02000001,2020-10-28,14040,988337
overview,United Kingdom,K02000001,2020-10-27,22147,974297
overview,United Kingdom,K02000001,2020-10-26,26088,952150
overview,United Kingdom,K02000001,2020-10-25,15595,926062
overview,United Kingdom,K02000001,2020-10-24,16200,910467
overview,United Kingdom,K02000001,2020-10-23,21403,894267
overview,United Kingdom,K02000001,2020-10-22,23203,872864
overview,United Kingdom,K02000001,2020-10-21,25383,849661
overview,United Kingdom,K02000001,2020-10-20,25312,824278
overview,United Kingdom,K02000001,2020-10-19,25585,798966
overview,United Kingdom,K02000001,2020-10-18,14204,773381
overview,United Kingdom,K02000001,2020-10-17,14782,759177
overview,United Kingdom,K02000001,2020-10-16,17716,744395
overview,United Kingdom,K02000001,2020-10-15,18435,726679
overview,United Kingdom,K02000001,2020-10-14,19694,708244
overview,United Kingdom,K02000001,2020-10-13,18903,688550
overview,United Kingdom,K02000001,2020-10-12,19445,669647
overview,United Kingdom,K02000001,2020-10-11,12069,650202
overview,United Kingdom,K02000001,2020-10-10,12517,638133
overview,United Kingdom,K02000001,2020-10-09,15737,625616
overview,United Kingdom,K02000001,2020-10-08,18240,609879
overview,United Kingdom,K02000001,2020-10-07,18323,591639
overview,United Kingdom,K02000001,2020-10-06,17053,573316
overview,United Kingdom,K02000001,2020-10-05,16552,556263
overview,United Kingdom,K02000001,2020-10-04,11780,539711
overview,United Kingdom,K02000001,2020-10-03,11545,527931
overview,United Kingdom,K02000001,2020-10-02,13671,516386
overview,United Kingdom,K02000001,2020-10-01,13174,502715
overview,United Kingdom,K02000001,2020-09-30,12542,489541
overview,United Kingdom,K02000001,2020-09-29,10242,476999
overview,United Kingdom,K02000001,2020-09-28,9923,466757
overview,United Kingdom,K02000001,2020-09-27,6976,456834
overview,United Kingdom,K02000001,2020-09-26,6755,449858
overview,United Kingdom,K02000001,2020-09-25,7247,443103
overview,United Kingdom,K02000001,2020-09-24,7615,435856
overview,United Kingdom,K02000001,2020-09-23,7060,428241
overview,United Kingdom,K02000001,2020-09-22,6420,421181
overview,United Kingdom,K02000001,2020-09-21,5598,414761
overview,United Kingdom,K02000001,2020-09-20,5316,409163
overview,United Kingdom,K02000001,2020-09-19,4861,403847
overview,United Kingdom,K02000001,2020-09-18,4962,398986
overview,United Kingdom,K02000001,2020-09-17,4634,394024
overview,United Kingdom,K02000001,2020-09-16,4370,389390
overview,United Kingdom,K02000001,2020-09-15,3559,385020
overview,United Kingdom,K02000001,2020-09-14,3396,381461
overview,United Kingdom,K02000001,2020-09-13,2145,378065
overview,United Kingdom,K02000001,2020-09-12,2673,375920
overview,United Kingdom,K02000001,2020-09-11,3287,373247
overview,United Kingdom,K02000001,2020-09-10,3599,369960
overview,United Kingdom,K02000001,2020-09-09,3330,366361
overview,United Kingdom,K02000001,2020-09-08,3303,363031
overview,United Kingdom,K02000001,2020-09-07,3862,359728
overview,United Kingdom,K02000001,2020-09-06,2447,355866
overview,United Kingdom,K02000001,2020-09-05,2546,353419
overview,United Kingdom,K02000001,2020-09-04,3037,350873
overview,United Kingdom,K02000001,2020-09-03,3101,347836
overview,United Kingdom,K02000001,2020-09-02,2995,344735
overview,United Kingdom,K02000001,2020-09-01,2250,341740
overview,United Kingdom,K02000001,2020-08-31,1500,339490
overview,United Kingdom,K02000001,2020-08-30,1163,337990
overview,United Kingdom,K02000001,2020-08-29,1229,336827
overview,United Kingdom,K02000001,2020-08-28,1632,335598
overview,United Kingdom,K02000001,2020-08-27,1562,333966
overview,United Kingdom,K02000001,2020-08-26,1354,332404
overview,United Kingdom,K02000001,2020-08-25,1247,331050
overview,United Kingdom,K02000001,2020-08-24,1223,329803
overview,United Kingdom,K02000001,2020-08-23,822,328580
overview,United Kingdom,K02000001,2020-08-22,827,327758
overview,United Kingdom,K02000001,2020-08-21,1198,326931
overview,United Kingdom,K02000001,2020-08-20,1464,325733
overview,United Kingdom,K02000001,2020-08-19,1242,324269
overview,United Kingdom,K02000001,2020-08-18,1084,323027
overview,United Kingdom,K02000001,2020-08-17,1285,321943
overview,United Kingdom,K02000001,2020-08-16,598,320658
overview,United Kingdom,K02000001,2020-08-15,697,320060
overview,United Kingdom,K02000001,2020-08-14,1167,319363
overview,United Kingdom,K02000001,2020-08-13,1145,318196
overview,United Kingdom,K02000001,2020-08-12,1206,317051
overview,United Kingdom,K02000001,2020-08-11,1341,315845
overview,United Kingdom,K02000001,2020-08-10,1473,314504
overview,United Kingdom,K02000001,2020-08-09,616,313031
overview,United Kingdom,K02000001,2020-08-08,696,312415
overview,United Kingdom,K02000001,2020-08-07,943,311719
overview,United Kingdom,K02000001,2020-08-06,1082,310776
overview,United Kingdom,K02000001,2020-08-05,1058,309694
overview,United Kingdom,K02000001,2020-08-04,1020,308636
overview,United Kingdom,K02000001,2020-08-03,1041,307616
overview,United Kingdom,K02000001,2020-08-02,554,306575
overview,United Kingdom,K02000001,2020-08-01,542,306021
overview,United Kingdom,K02000001,2020-07-31,675,305479
overview,United Kingdom,K02000001,2020-07-30,923,304804
overview,United Kingdom,K02000001,2020-07-29,1039,303881
overview,United Kingdom,K02000001,2020-07-28,842,302842
overview,United Kingdom,K02000001,2020-07-27,857,302000
overview,United Kingdom,K02000001,2020-07-26,558,301143
overview,United Kingdom,K02000001,2020-07-25,523,300585
overview,United Kingdom,K02000001,2020-07-24,767,300062
overview,United Kingdom,K02000001,2020-07-23,799,299295
overview,United Kingdom,K02000001,2020-07-22,799,298496
overview,United Kingdom,K02000001,2020-07-21,783,297697
overview,United Kingdom,K02000001,2020-07-20,812,296914
overview,United Kingdom,K02000001,2020-07-19,443,296102
overview,United Kingdom,K02000001,2020-07-18,497,295659
overview,United Kingdom,K02000001,2020-07-17,580,295162
overview,United Kingdom,K02000001,2020-07-16,704,294582
overview,United Kingdom,K02000001,2020-07-15,772,293878
overview,United Kingdom,K02000001,2020-07-14,690,293106
overview,United Kingdom,K02000001,2020-07-13,734,292416
overview,United Kingdom,K02000001,2020-07-12,367,291682
overview,United Kingdom,K02000001,2020-07-11,449,291315
overview,United Kingdom,K02000001,2020-07-10,566,290866
overview,United Kingdom,K02000001,2020-07-09,715,290300
overview,United Kingdom,K02000001,2020-07-08,703,289585
overview,United Kingdom,K02000001,2020-07-07,602,288882
overview,United Kingdom,K02000001,2020-07-06,706,288280
overview,United Kingdom,K02000001,2020-07-05,555,287574
overview,United Kingdom,K02000001,2020-07-04,399,287019
overview,United Kingdom,K02000001,2020-07-03,568,286620
overview,United Kingdom,K02000001,2020-07-02,604,286052
overview,United Kingdom,K02000001,2020-07-01,644,285448
overview,United Kingdom,K02000001,2020-06-30,615,284804
overview,United Kingdom,K02000001,2020-06-29,727,284189
overview,United Kingdom,K02000001,2020-06-28,447,283462
overview,United Kingdom,K02000001,2020-06-27,651,283015
overview,United Kingdom,K02000001,2020-06-26,673,282364
overview,United Kingdom,K02000001,2020-06-25,720,281691
overview,United Kingdom,K02000001,2020-06-24,777,280971
overview,United Kingdom,K02000001,2020-06-23,886,280194
overview,United Kingdom,K02000001,2020-06-22,895,279308
overview,United Kingdom,K02000001,2020-06-21,639,278413
overview,United Kingdom,K02000001,2020-06-20,686,277774
overview,United Kingdom,K02000001,2020-06-19,986,277088
overview,United Kingdom,K02000001,2020-06-18,1027,276102
overview,United Kingdom,K02000001,2020-06-17,1014,275075
overview,United Kingdom,K02000001,2020-06-16,1101,274061
overview,United Kingdom,K02000001,2020-06-15,1044,272960
overview,United Kingdom,K02000001,2020-06-14,820,271916
