areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2021-03-08,2322,4228998
overview,United Kingdom,K02000001,2021-03-07,3779,4226676
overview,United Kingdom,K02000001,2021-03-06,4233,4222897
overview,United Kingdom,K02000001,2021-03-05,5320,4218664
overview,United Kingdom,K02000001,2021-03-04,5753,4213344
overview,United Kingdom,K02000001,2021-03-03,5998,4207591
overview,United Kingdom,K02000001,2021-03-02,6664,4201593
overview,United Kingdom,K02000001,2021-03-01,6934,4194929
overview,United Kingdom,K02000001,2021-02-28,4745,4187995
overview,United Kingdom,K02000001,2021-02-27,4837,4183250
overview,United Kingdom,K02000001,2021-02-26,6608,4178413
overview,United Kingdom,K02000001,2021-02-25,7766,4171805
overview,United Kingdom,K02000001,2021-02-24,8556,4164039
overview,United Kingdom,K02000001,2021-02-23,9443,4155483
overview,United Kingdom,K02000001,2021-02-22,11335,4146040
overview,United Kingdom,K02000001,2021-02-21,7903,4134705
overview,United Kingdom,K02000001,2021-02-20,8077,4126802
overview,United Kingdom,K02000001,2021-02-19,10428,4118725
overview,United Kingdom,K02000001,2021-02-18,11433,4108297
overview,United Kingdom,K02000001,2021-02-17,11596,4096864
overview,United Kingdom,K02000001,2021-02-16,12517,4085268
overview,United Kingdom,K02000001,2021-02-15,14321,4072751
overview,United Kingdom,K02000001,2021-02-14,8798,4058430
overview,United Kingdom,K02000001,2021-02-13,8790,4049632
overview,United Kingdom,K02000001,2021-02-12,12194,4040842
overview,United Kingdom,K02000001,2021-02-11,12811,4028648
overview,United Kingdom,K02000001,2021-02-10,13539,4015837
overview,United Kingdom,K02000001,2021-02-09,13856,4002298
overview,United Kingdom,K02000001,2021-02-08,15793,3988442
overview,United Kingdom,K02000001,2021-02-07,11419,3972649
overview,United Kingdom,K02000001,2021-02-06,11978,3961230
overview,United Kingdom,K02000001,2021-02-05,15909,3949252
overview,United Kingdom,K02000001,2021-02-04,18035,3933343
overview,United Kingdom,K02000001,2021-02-03,19468,3915308
overview,United Kingdom,K02000001,2021-02-02,19825,3895840
overview,United Kingdom,K02000001,2021-02-01,22423,3876015
overview,United Kingdom,K02000001,2021-01-31,15442,3853592
overview,United Kingdom,K02000001,2021-01-30,16685,3838150
overview,United Kingdom,K02000001,2021-01-29,21825,3821465
overview,United Kingdom,K02000001,2021-01-28,24115,3799640
overview,United Kingdom,K02000001,2021-01-27,25744,3775525
overview,United Kingdom,K02000001,2021-01-26,27044,3749781
overview,United Kingdom,K02000001,2021-01-25,29989,3722737
overview,United Kingdom,K02000001,2021-01-24,17198,3692748
overview,United Kingdom,K02000001,2021-01-23,21862,3675550
overview,United Kingdom,K02000001,2021-01-22,29608,3653688
overview,United Kingdom,K02000001,2021-01-21,31722,3624080
overview,United Kingdom,K02000001,2021-01-20,35162,3592358
overview,United Kingdom,K02000001,2021-01-19,39546,3557196
overview,United Kingdom,K02000001,2021-01-18,44845,3517650
overview,United Kingdom,K02000001,2021-01-17,28880,3472805
overview,United Kingdom,K02000001,2021-01-16,30554,3443925
overview,United Kingdom,K02000001,2021-01-15,40444,3413371
overview,United Kingdom,K02000001,2021-01-14,42434,3372927
overview,United Kingdom,K02000001,2021-01-13,45449,3330493
overview,United Kingdom,K02000001,2021-01-12,49455,3285044
overview,United Kingdom,K02000001,2021-01-11,57211,3235589
overview,United Kingdom,K02000001,2021-01-10,36363,3178378
overview,United Kingdom,K02000001,2021-01-09,39108,3142015
overview,United Kingdom,K02000001,2021-01-08,47069,3102907
overview,United Kingdom,K02000001,2021-01-07,51980,3055838
overview,United Kingdom,K02000001,2021-01-06,57438,3003858
overview,United Kingdom,K02000001,2021-01-05,65163,2946420
overview,United Kingdom,K02000001,2021-01-04,76203,2881257
overview,United Kingdom,K02000001,2021-01-03,55203,2805054
overview,United Kingdom,K02000001,2021-01-02,60447,2749851
overview,United Kingdom,K02000001,2021-01-01,31857,2689404
overview,United Kingdom,K02000001,2020-12-31,52831,2657547
overview,United Kingdom,K02000001,2020-12-30,70822,2604716
overview,United Kingdom,K02000001,2020-12-29,81572,2533894
overview,United Kingdom,K02000001,2020-12-28,45620,2452322
overview,United Kingdom,K02000001,2020-12-27,47758,2406702
overview,United Kingdom,K02000001,2020-12-26,40370,2358944
overview,United Kingdom,K02000001,2020-12-25,14180,2318574
