areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
overview,United Kingdom,K02000001,2021-03-08,41,124796
overview,United Kingdom,K02000001,2021-03-07,67,124755
overview,United Kingdom,K02000001,2021-03-06,99,124688
overview,United Kingdom,K02000001,2021-03-05,123,124589
overview,United Kingdom,K02000001,2021-03-04,128,124466
overview,United Kingdom,K02000001,2021-03-03,138,124338
overview,United Kingdom,K02000001,2021-03-02,164,124200
overview,United Kingdom,K02000001,2021-03-01,215,124036
overview,United Kingdom,K02000001,2021-02-28,202,123821
overview,United Kingdom,K02000001,2021-02-27,219,123619
overview,United Kingdom,K02000001,2021-02-26,213,123400
overview,United Kingdom,K02000001,2021-02-25,253,123187
overview,United Kingdom,K02000001,2021-02-24,261,122934
overview,United Kingdom,K02000001,2021-02-23,281,122673
overview,United Kingdom,K02000001,2021-02-22,275,122392
overview,United Kingdom,K02000001,2021-02-21,317,122117
overview,United Kingdom,K02000001,2021-02-20,342,121800
overview,United Kingdom,K02000001,2021-02-19,376,121458
overview,United Kingdom,K02000001,2021-02-18,414,121082
overview,United Kingdom,K02000001,2021-02-17,426,120668
overview,United Kingdom,K02000001,2021-02-16,444,120242
overview,United Kingdom,K02000001,2021-02-15,513,119798
overview,United Kingdom,K02000001,2021-02-14,488,119285
overview,United Kingdom,K02000001,2021-02-13,485,118797
overview,United Kingdom,K02000001,2021-02-12,523,118312
overview,United Kingdom,K02000001,2021-02-11,570,117789
overview,United Kingdom,K02000001,2021-02-10,602,117219
overview,United Kingdom,K02000001,2021-02-09,600,116617
overview,United Kingdom,K02000001,2021-02-08,680,116017
overview,United Kingdom,K02000001,2021-02-07,631,115337
overview,United Kingdom,K02000001,2021-02-06,695,114706
overview,United Kingdom,K02000001,2021-02-05,748,114011
overview,United Kingdom,K02000001,2021-02-04,715,113263
overview,United Kingdom,K02000001,2021-02-03,855,112548
overview,United Kingdom,K02000001,2021-02-02,846,111693
overview,United Kingdom,K02000001,2021-02-01,885,110847
overview,United Kingdom,K02000001,2021-01-31,891,109962
overview,United Kingdom,K02000001,2021-01-30,911,109071
overview,United Kingdom,K02000001,2021-01-29,1062,108160
overview,United Kingdom,K02000001,2021-01-28,1110,107098
overview,United Kingdom,K02000001,2021-01-27,1108,105988
overview,United Kingdom,K02000001,2021-01-26,1058,104880
overview,United Kingdom,K02000001,2021-01-25,1160,103822
overview,United Kingdom,K02000001,2021-01-24,1155,102662
overview,United Kingdom,K02000001,2021-01-23,1158,101507
overview,United Kingdom,K02000001,2021-01-22,1243,100349
overview,United Kingdom,K02000001,2021-01-21,1232,99106
overview,United Kingdom,K02000001,2021-01-20,1291,97874
overview,United Kingdom,K02000001,2021-01-19,1361,96583
overview,United Kingdom,K02000001,2021-01-18,1296,95222
overview,United Kingdom,K02000001,2021-01-17,1265,93926
overview,United Kingdom,K02000001,2021-01-16,1298,92661
overview,United Kingdom,K02000001,2021-01-15,1219,91363
overview,United Kingdom,K02000001,2021-01-14,1219,90144
overview,United Kingdom,K02000001,2021-01-13,1212,88925
overview,United Kingdom,K02000001,2021-01-12,1207,87713
overview,United Kingdom,K02000001,2021-01-11,1129,86506
overview,United Kingdom,K02000001,2021-01-10,1092,85377
overview,United Kingdom,K02000001,2021-01-09,1016,84285
overview,United Kingdom,K02000001,2021-01-08,983,83269
overview,United Kingdom,K02000001,2021-01-07,991,82286
overview,United Kingdom,K02000001,2021-01-06,930,81295
overview,United Kingdom,K02000001,2021-01-05,907,80365
overview,United Kingdom,K02000001,2021-01-04,840,79458
overview,United Kingdom,K02000001,2021-01-03,757,78618
overview,United Kingdom,K02000001,2021-01-02,755,77861
overview,United Kingdom,K02000001,2021-01-01,745,77106
overview,United Kingdom,K02000001,2020-12-31,752,76361
overview,United Kingdom,K02000001,2020-12-30,717,75609
overview,United Kingdom,K02000001,2020-12-29,661,74892
overview,United Kingdom,K02000001,2020-12-28,675,74231
overview,United Kingdom,K02000001,2020-12-27,647,73556
overview,United Kingdom,K02000001,2020-12-26,653,72909
overview,United Kingdom,K02000001,2020-12-25,608,72256
overview,United Kingdom,K02000001,2020-12-24,581,71648
overview,United Kingdom,K02000001,2020-12-23,564,71067
overview,United Kingdom,K02000001,2020-12-22,563,70503
overview,United Kingdom,K02000001,2020-12-21,578,69940
overview,United Kingdom,K02000001,2020-12-20,503,69362
overview,United Kingdom,K02000001,2020-12-19,486,68859
overview,United Kingdom,K02000001,2020-12-18,515,68373
overview,United Kingdom,K02000001,2020-12-17,535,67858
overview,United Kingdom,K02000001,2020-12-16,433,67323
overview,United Kingdom,K02000001,2020-12-15,456,66890
overview,United Kingdom,K02000001,2020-12-14,479,66434
overview,United Kingdom,K02000001,2020-12-13,418,65955
overview,United Kingdom,K02000001,2020-12-12,439,65537
overview,United Kingdom,K02000001,2020-12-11,450,65098
overview,United Kingdom,K02000001,2020-12-10,445,64648
overview,United Kingdom,K02000001,2020-12-09,433,64203
overview,United Kingdom,K02000001,2020-12-08,434,63770
overview,United Kingdom,K02000001,2020-12-07,421,63336
overview,United Kingdom,K02000001,2020-12-06,418,62915
overview,United Kingdom,K02000001,2020-12-05,393,62497
overview,United Kingdom,K02000001,2020-12-04,475,62104
overview,United Kingdom,K02000001,2020-12-03,472,61629
overview,United Kingdom,K02000001,2020-12-02,385,61157
overview,United Kingdom,K02000001,2020-12-01,402,60772
overview,United Kingdom,K02000001,2020-11-30,423,60370
overview,United Kingdom,K02000001,2020-11-29,461,59947
overview,United Kingdom,K02000001,2020-11-28,467,59486
overview,United Kingdom,K02000001,2020-11-27,423,59019
overview,United Kingdom,K02000001,2020-11-26,436,58596
overview,United Kingdom,K02000001,2020-11-25,479,58160
overview,United Kingdom,K02000001,2020-11-24,459,57681
overview,United Kingdom,K02000001,2020-11-23,465,57222
overview,United Kingdom,K02000001,2020-11-22,475,56757
overview,United Kingdom,K02000001,2020-11-21,463,56282
overview,United Kingdom,K02000001,2020-11-20,451,55819
overview,United Kingdom,K02000001,2020-11-19,462,55368
overview,United Kingdom,K02000001,2020-11-18,488,54906
overview,United Kingdom,K02000001,2020-11-17,440,54418
overview,United Kingdom,K02000001,2020-11-16,424,53978
overview,United Kingdom,K02000001,2020-11-15,453,53554
overview,United Kingdom,K02000001,2020-11-14,430,53101
overview,United Kingdom,K02000001,2020-11-13,434,52671
overview,United Kingdom,K02000001,2020-11-12,421,52237
